grupo,tokens,observaciones,días,volatilidad,market_cap,top_feature,top_corr
meme_emerging,50,29078,365,0.16728775469741236,6419776.355613577,N/A,0.0
rwa_all,6,2196,365,0.05308327915820988,106699155.23794897,vol_7d,0.32716403362301744
tech_emerging,55,17027,365,0.08868618852380139,7304370.32148321,vol_30d,0.11009920023751421
meme_established,1,1830,365,0.017331775697398518,1388043253.1507797,vol_30d,0.1254989893194736
meme_emerging_lowdata,3,165,66,0.3554497122597306,149268.18787878787,price_to_sma7,0.4087237405728618
tech_emerging_lowdata,3,112,48,0.08571900042964038,1864093.7857142857,ret_30d,0.968949968764907
