narrative,market_cap,volume,ret_7d,ret_30d,sma_7,sma_30,bb_width,vol_30d,cluster_id,future_ret_30d
ai,780167.0,15.28,0.154877021826215,-0.20004363249037405,0.0015124498319892,0.00163903033199466,0.296838365130954,0.4011421723988766,3,-0.1648717506269165
gaming,231757.0,62.89,-0.07144426129704073,-0.08320764267764924,0.0002240467914315143,0.00025120592505486003,0.06100002478356168,0.04680789828787826,0,-0.04350453426707335
ai,1797088.0,194150.0,-0.10307695139496587,-0.17249341622678105,0.026524583716107785,0.029634063851685783,0.09243389716015192,0.043192749854971464,3,0.23085455345598005
meme,8951459.0,797941.0,-0.03674688492151068,-0.0128174259803433,0.029983210446661714,0.03578980486050557,0.11283564288583292,0.07948859318776386,0,0.7071111639455847
meme,149515.0,53424.0,0.010348256879909146,-0.5108529415697795,0.03414114476939466,0.050326597203892924,0.24721134861420216,0.08159985179802955,3,3.788283817439285
ai,1295033.0,112451.0,-0.1514294993985591,-0.09673332962455095,0.0010474045227852,0.00100753825117022,0.1298488626868599,0.09494739196058188,3,-0.0009107962752967769
ai,1008318.0,2452.47,-0.15845256861384982,-0.13296380405918928,0.005597277913617486,0.00612207322455591,0.1296204382209722,0.05976616199046615,3,0.2683015409868932
gaming,7695044.0,575306.0,-0.024147804365223458,-0.291640877581835,0.0008444480139089856,0.0009230457747618267,0.05971678231412085,0.06433675517373878,0,0.20154187746212138
ai,2021186.0,122704.0,0.0066452448105667195,-0.33673488548009967,0.07224420809104637,0.08697516039903905,0.16887890777325057,0.07858070992826083,3,1.4524051573001615
meme,5327594.0,55057.0,0.2274198134229939,-0.04317098661893426,0.004016717536935129,0.003861564231206353,0.09987362222234467,0.1479606951532218,0,-0.1515765951583654
ai,1234480.0,162735.0,0.0493652121950805,-0.3237959834757973,0.0005297449829365429,0.0006422935407999434,0.11895907747541089,0.03862806817080111,0,0.2374612492196686
ai,2418863.0,109144.0,0.02296519811323927,-0.09830093769899051,0.004574900562190314,0.004910566972482986,0.04693163626073745,0.03935617038446181,0,0.2687472927732577
meme,155667.0,2559.0,-0.16617620643215747,0.02444865413853714,3.596241097768764e-05,4.009515738627857e-05,0.1697513822074558,0.07338036008105273,3,1.075954744568865
ai,1209075.0,195288.0,-0.03602930778308355,-0.06613387501049062,0.004969562791952172,0.005105219043456203,0.12281928104047461,0.11379139324799623,0,-0.2082648982032761
meme,2226249.0,149974.0,-0.03154610315230477,0.11797824052873107,3.721297499723581,3.687627530090143,0.037195093844067086,0.041911264392784704,0,0.6389224543998699
meme,120492.0,43671.0,-0.2715310293029284,-0.5839182039441186,0.005999114513582157,0.009308342983361424,0.38673945240857477,0.11899578354533238,3,-0.068835245089928
ai,28070.0,83.73,-0.11910288274201608,-0.5010915783166978,3.06815453767346e-05,4.134983805466161e-05,0.20197281160183272,0.0368133289644165,3,0.0629270343432684
meme,22836449.0,4654712.0,0.13796494273345838,-0.16120020873628416,0.0028680789479723,0.0032159390892850764,0.07876628958132083,0.06711465088802812,0,0.11790314785013334
meme,533452.0,438049.0,-0.016002558547977497,-0.5890944756884613,0.002091212753732,0.0027618553054718164,0.04033429742154781,0.0466747592263765,3,0.15598974811624355
ai,1678588.0,38.44,-0.3354126673294904,-0.3192334254293402,0.008936348091817143,0.009798954430768583,0.15732476549041177,0.042113940374852735,3,-0.38894522331426584
meme,160518.0,23.66,-0.11341438372952062,0.06913610716151175,0.0003792835684770429,0.00040652966438749997,0.08783663003891645,0.08557117936968124,0,0.46185421891071177
ai,30259.0,69.19,0.14106320160057906,-0.2381549229575055,4.8364683154713686e-05,5.0257659235802154e-05,0.08537109758635752,0.09701451139039043,0,0.5011931434674681
meme,118992.0,192.21,-0.07777992335277928,-0.6581733308494785,0.00012764484144727142,0.0001882947713875,0.21979970846920943,0.0762188885547479,3,0.04969925752821158
meme,137817.0,10.77,-0.1984878077019826,-0.10996275702433023,3.884234591013102e-07,3.95693762988955e-07,0.17158966288763794,0.11232332795487848,3,0.12483636194226877
meme,112507.0,4517.01,0.12296858199956517,-0.3013746653943863,4.993466574944457e-07,6.529411796360004e-07,0.17797871174216864,0.22999253100573994,3,0.5376830535192774
meme,4206198.0,10856.73,-0.119099321508216,-0.42786952930250144,0.012900448453362886,0.0181757698422464,0.22811923543254148,0.06162969450181407,3,-0.2615048125142253
ai,986921.0,422.84,0.10083811906882567,0.008611766617442784,6.754634774655797e-06,6.883729939636873e-06,0.04291840299384681,0.035076546120713065,0,0.3106196380411139
meme,111907.0,44784.0,-0.09371952882098922,-0.20973830382976566,3.2073292990754093e-07,4.6033577604591007e-07,0.29933355764692915,0.3467486349275118,3,0.23459232613922154
meme,134122.0,540.53,-0.02426536997817419,0.6163809206959556,9.805243822326548e-05,8.501898101409086e-05,0.0828193415403392,0.08058743952297863,0,-0.2612884368579076
ai,852723.0,41485.0,0.2379805275514395,0.09962143514430433,2.4919153775412546e-12,2.4115444248818757e-12,0.08254209930660707,0.052202869969439146,0,0.2724663978064892
meme,1038751.0,1133.94,-0.15672562306636129,1.6205321744816374,0.0022955055355332,0.0017098230331139901,0.14885484420918338,0.17418926783215408,0,0.8330276193272748
ai,0.0,967.2,-0.1401749633670858,0.41225705011892244,1.695686950796786e-05,1.5004680167995291e-05,0.1595537513784829,0.10975113075043819,0,0.30437705197736786
ai,2926609.0,107582.0,-0.13411459480491528,-0.122333805953183,0.0005461071159097715,0.0005080205897400933,0.1294159841907331,0.23778979634061562,3,4.74968775914446
ai,1238141.0,1585991.0,0.6712886945888521,0.8906216816030115,0.01246239437056693,0.008351448876727034,0.22321398156856032,0.14613058462812925,0,1.0538444765728237
meme,10837.048267333694,0.0,-0.056294622489600155,-0.03241936504689735,0.006742717229239671,0.006853704489332574,0.04610195794552017,0.030724062447523785,0,0.17803956779965002
ai,3956212.0,619981.0,-0.03182757581571771,-0.28874412362365465,0.009921305505767388,0.011184922181968267,0.04191752071976234,0.03852968500229603,0,0.020536337279908112
meme,0.0,8074.9,0.0006179332929068249,0.0003221434057802952,0.0030345754115646425,0.00303235930937452,0.00016810568187540037,0.002306898267756301,0,0.0007141385541173939
meme,40273.0,699.97,-0.05684440368635668,-0.29640685626746843,4.420523961895991e-05,5.575357133733816e-05,0.12594608793014148,0.059520424450074674,3,0.1360886621722881
meme,12882.46,1.3,-0.10311329599943897,-0.18743655310445773,1.066220621087378e-05,1.2164784855598148e-05,0.07129041183733487,0.027162715422480447,3,-0.17103598363645034
meme,6940216265.753898,116055420.3934188,0.03327495621716281,0.052631578947368585,1.1317142857142855e-05,1.1449666666666666e-05,0.02151590396877384,0.014043978585970406,0,0.0008481764206955678
meme,0.0,1359.08422493,0.12422360248447206,0.1165181631254284,0.0015518571428571428,0.0015548333333333332,0.05230998679920172,0.03328518421323081,0,0.08167330677290852
meme,0.0,673.92265812,-0.01596516690856309,-0.05307262569832394,6.811428571428572e-06,6.925666666666668e-06,0.007207785018487557,0.0073832532196790365,0,-0.9681041928613261
