id,symbol,name,narrative,price,volume,market_cap
omnis-genesis-by-virtuals,omni,Omnis Genesis by Virtuals,ai,6.139e-05,10.44,51863.0
agent-doge-by-virtuals,aidoge,AGENT DOGE by Virtuals,ai,5.072e-05,23.73,50717.0
agentensor,agts,AgenTensor,ai,0.00241215,142.65,50655.0
eye-future-by-virtuals,eye,Eye Future by Virtuals,ai,4.98e-05,339.29,49805.0
taobank,tbank,TaoBank,ai,0.00331838,134.2,49659.0
pulsr-2,$pulsr,PULSR,ai,4.957e-05,428.71,49569.0
ai-dev-agent,aidev,AI Dev Agent,ai,0.0006351,107091.0,49333.0
epik-protocol,aiepk,EpiK Protocol,ai,0.00031708,70522.0,49214.0
sentient-memes-producer,memetic,sentient memes producer,ai,5.208e-05,434.83,48931.0
glacier-network,gls,Glacier Network,ai,4.778e-05,11.72,47776.0
pseudo-reality,pseudo,PSEUDO REALITY,ai,5.861e-05,6.7,46810.0
hiero-terminal,hterm,Hiero Terminal,ai,5.702e-05,182.59,46334.0
omniagent,omagent,OmniAgent,ai,4.592e-05,14.86,45916.0
thales-ai,thales,Thales AI,ai,4.551e-05,329.66,45497.0
pathos,pathos,PathOS,ai,0.00214664,2282.49,45079.0
creator,creator,CREATOR,ai,4.496e-05,236.94,44958.0
auralex-ai,aura,Auralex AI,ai,4.472e-05,48.91,44619.0
threatslayerai-by-virtuals,slayer,ThreatSlayerAI by Virtuals,ai,4.419e-05,100.21,44192.0
yoko,yoko,Yoko,ai,0.00010722,88.06,43960.0
citadel-by-virtuals,citdel,Citadel by Virtuals,ai,4.393e-05,9.04,43932.0
corporate-audit-ai,audit,Corporate Audit AI,ai,4.338e-05,40.62,43329.0
axion-2,axi,Axira,ai,4.272e-05,219.05,42621.0
if-science,ifsci,IF Science,ai,4.477e-05,18.86,42530.0
tranchevest,tranche,TrancheVest,ai,4.212e-05,1289.07,42088.0
artto-ai,artto,Artto AI,ai,4.209e-05,1502.38,42088.0
genzai,genzai,GENZAI by Virtuals,ai,4.668e-05,109.58,42016.0
social-lens-ai,lens,Social Lens Ai,ai,0.00041379,66.83,41379.0
ali-for-fx-protocol-by-virtuals,fx,Ali for fx protocol by Virtuals,ai,4.227e-05,31.46,40977.0
tokito,tokito,Tokito,ai,9.208e-05,67.89,40579.0
tao-accounting-system,tas,Tao Accounting System,ai,0.004046,38.19,40460.0
aether-collective,aether,aether collective,ai,4.074e-05,75.24,40145.0
launch-on-usd1,l,Launch On USD1,ai,4.00244e-07,193.98,40028.0
curiso,cur,Curiso,ai,4.086e-05,694.41,39970.0
verox,vrx,Verox,ai,1.76,176.41,39937.0
leonardo-ai,leonai,Leonardo AI,ai,3.959e-05,35.49,39589.0
suissma-ai-by-virtuals,suiss,SUISSMA AI by Virtuals,ai,0.00010787,96.05,38743.0
ai-voice-agents,aiva,AI Voice Agents,ai,0.00016039,90489.0,37920.0
ocada-ai,ocada,OCADA.AI,ai,0.00066381,142.82,37361.0
alris-agent,alr,ALRIS AGENT,ai,3.725e-05,486.25,37204.0
lillo-ai,$lillo,Lillo AI,ai,3.654e-05,18.46,36537.0
nora,nora,NORA,ai,3.625e-05,496.13,36243.0
zegent-ai,zgen,Zegent AI,ai,4.262e-05,149.36,35242.0
cyphomancer,42,Cyphomancer,ai,3.774e-05,106.37,35089.0
launchbot,rocketai,launchbot,ai,3.50883e-07,10.58,35088.0
fridonai,frai,FridonAI,ai,4.504e-05,406.76,35004.0
osiris,osiri,Osiris,ai,0.00036904,55.9,34994.0
2077-code,2077,2077 CODE,ai,5.45e-05,37.56,34696.0
zerepy,zerepy,ZerePy,ai,3.41e-05,11.57,34100.0
wagmi-5,wagmi,WAGMI,ai,3.387e-05,3.35,33872.0
sedux-ai,sedux,SEDUX AI,ai,3.399e-05,338.93,32811.0
agora-by-virtuals,agora,Agora by Virtuals,ai,3.271e-05,13.64,32707.0
druid-ai,dru,Druid AI,ai,3.225e-05,87.13,32250.0
trady,trady,TRADY,ai,3.534e-05,145.93,32115.0
quasar-3,quasar,Quasar,ai,3.212e-05,73.08,32097.0
iamai,iamai,IAMAI,ai,3.2e-05,29.25,32003.0
daeta,daeta,DÆTA,ai,0.00045687,103.9,31630.0
insora-ai,$insora,INSORA AI,ai,0.00031186,35.84,31186.0
kanzzai,kaai,KanzzAI,ai,0.00030975,138.35,30975.0
fusion-ai-2,fusion,Fusion AI,ai,3.138e-05,62.85,30612.0
codease,codon,CodEase,ai,3.199e-05,29.08,30517.0
neuravox,$vox,Neuravox,ai,0.00029878,171.16,29878.0
shift-ai,shift,Shift AI,ai,2.945e-05,11.58,29442.0
sigma-music,fan,Sigma Music,ai,4.439e-05,482.37,29223.0
riddle-by-virtuals,riddle,Riddle by Virtuals,ai,3.607e-05,474.18,28296.0
39a-fun,39a,39a.fun,ai,2.867e-05,880.44,28167.0
ongo,ongo,Ongo,ai,2.817e-05,5.95,28137.0
agentverse,agv,AgentVerse,ai,2.81e-05,18.28,28098.0
degpt,degpt,deGPT,ai,2.695e-05,1.34,26939.0
agentme,agme,AgentMe,ai,2.692e-05,10.91,26902.0
ailive,ailive,ailive,ai,2.748e-05,103.8,26431.0
vicky,vicky,Vicky,ai,2.623e-05,30.63,26225.0
universal-operating-system,$uos,Universal Operating System [OLD],ai,2.558e-05,39.45,25568.0
ai-trader-agent,ait,AI Trader Agent,ai,2.996e-05,15.51,25404.0
noderzz-by-virtuals,node,noderzz by Virtuals,ai,2.508e-05,38.12,25084.0
market-maverick,luigi,Market Maverick,ai,0.001181,158770.0,24801.0
rosscoin,rosscoin,Rosscoin,ai,2.415e-05,7.19,24135.0
skainet,skai,SKAINET,ai,2.395e-05,25.27,23944.0
soly-ai,soly,SOLY AI,ai,2.387e-05,1917.7,23852.0
exodus-ai,exo,Exodus AI,ai,2.407e-05,116.38,23813.0
pollo,pollo,Pollo,ai,2.357e-05,9.12,23565.0
mozaic,moz,Mozaic,ai,0.00015346,148.19,22973.0
ocnest-ai,ocai,OcNest AI,ai,0.00228665,37810.0,22867.0
virtubeauty-by-virtuals,vbea,VirtuBeauty by Virtuals,ai,2.35e-05,12.76,22568.0
aigg,$aigg,AIGG,ai,2.214e-05,1.62,22144.0
aaai_agent-by-virtuals,aaai,AAAI_agent by Virtuals,ai,2.146e-05,8.11,21462.0
pulse3d,pulse,Pulse3D,ai,2.109e-05,1.43,21086.0
simsai,simsai,SimsAI,ai,2.106e-05,1406.05,21056.0
rina-by-arc,rina,Rina By Arc,ai,2.104e-05,3.93,21042.0
2dai-io,2dai,2DAI.io,ai,2.099e-05,10.01,20989.0
storagent,storagent,STORAGENT,ai,2.07e-05,42959.0,20695.0
gigabrain,giga🧠,GIGABRAIN,ai,3.721e-05,31.63,20683.0
arata-agi,arata,Arata AGI,ai,0.00295286,77.37,20670.0
roseon,rosx,Roseon,ai,0.00023083,90.38,20656.0
intellika-ai,intai,intellika AI,ai,2.064e-05,13.67,20644.0
psynova-token,psy,PsyNova Token,ai,2.055e-05,1.19,20537.0
neurostack,vision,NeuroStack,ai,2.024e-05,2.75,20241.0
crazzers-ai,crazzers,Crazzers AI,ai,0.0001645,709.42,20118.0
goosepumpsai,goosepumps,GoosepumpsAI,ai,2e-05,21.68,19981.9
cerebrum,cbm,Cerebrum,ai,1.93e-05,11.85,19299.59
lenda-on-chain,lenda,lenda on chain,ai,1.92e-05,1960.36,19191.97
aesoperator,aesoperator,Aesoperator,ai,1.917e-05,2.73,19144.43
paperclip-ai,paperclips,Paperclip AI,ai,2.179e-05,559.41,18524.34
zkgpt,zkgpt,ZKGPT,ai,1.844e-05,5.4,18438.33
xetra-ai,xetra,Xetra AI,ai,0.00018389,5.1,18389.02
ua1,ua1,UA1,ai,0.00029184,1348.07,17847.78
solace-ai,$slce,Solace AI,ai,1.85e-05,2.21,17709.73
superfruits-ai,supai,SuperFruits AI,ai,1.771e-05,138.58,17708.58
morris,morris,MORRIS,ai,1.772e-05,3.97,17706.56
safe-quantum-wallet,sqw,Safe Quantum Wallet,ai,0.00017687,1252.04,17687.49
prediction-arena,arena,Prediction Arena,ai,1.722e-05,904.14,17158.13
docusol,docusol,DocuSol,ai,1.728e-05,16.9,17140.93
croy-ai,croy,CROY AI,ai,1.825e-05,854.58,16808.11
artificial-isle-clams,clams,Artificial Isle Clams,ai,1.721e-05,43.07,16345.21
dolphin-agent,dola,Dolphin Agent,ai,1.626e-05,20.89,16263.84
boofus-by-virtuals,boof,Boofus by Virtuals,ai,1.624e-05,24.15,16240.95
sozoai,soai,SōzōAI,ai,1.71e-05,2.17,16226.28
prol-ai,prol,Prol AI,ai,1.711e-05,7.54,16192.91
perspective-ai-by-virtuals,pai,Perspective AI by VIRTUALS,ai,1.618e-05,1901.12,16176.97
middle-earth-ai,mearth,Middle Earth AI,ai,1.718e-05,3.12,16143.69
miraya-7f,m7f,Miraya 7f,ai,1.617e-05,16.23,16132.59
eralabs,eralab,EraLabs,ai,1.58e-05,13.28,15770.35
origin3d,o3d,Origin3D,ai,1.576e-05,4.0,15764.89
shillguy,shill,SHILLGUY,ai,1.554e-05,7.77,15540.1
splash-ai,splash,SPLASH AI,ai,1.518e-05,333.5,15176.98
agistry,agi,AGISTRY,ai,1.583e-05,456.31,14962.22
zora-ai,zora,Zora AI,ai,0.01468906,1860.12,14575.06
taotools,taotools,TAOTools,ai,0.01426421,2.21,14264.21
basey-ai-agent,basey,BASEY AI Agent,ai,1.401e-05,6.29,13870.16
arbion-ai,arai,Arbion AI,ai,0.00015226,8.7,13703.59
1hub-ai,1hub,1Hub.ai,ai,3.135e-05,339.49,13671.64
eco-ai,eco,ECO AI,ai,1.36e-05,5.32,13394.22
dearbook,dearbook,DearBook.AI,ai,1.324e-05,43.39,13231.26
relign,relign,RELIGN,ai,1.32e-05,214.59,13181.29
vortex,vrtx,VORTEX,ai,0.00016056,18.01,13165.97
elixir-ai,elxai,ELIXIR AI,ai,1.308e-05,67.6,13075.17
23-turtles,ai23t,23 Turtles,ai,1.301e-05,24.75,13004.1
trust-inspect,$trust,Trust Inspect,ai,1.99e-05,12.8,12956.17
origent-ai,ori,Origent Ai,ai,0.00013153,6.61,12889.87
alina-ai,alinaintel,ALINA AI,ai,1.289e-05,1.3,12882.46
mentat,spice,Mentat,ai,1.258e-05,4.56,12582.86
omnitensor,omnit,OmniTensor,ai,3.15e-05,5.67,12522.08
dexai,dexai,DEXAI,ai,1.209e-05,137.44,12081.66
social-edge,sedge,Social Edge,ai,0.0119639,16.55,11963.9
boltai,boltai,BoltAI,ai,1.173e-05,16.18,11725.55
breakbot,break,BreakBot,ai,1.173e-05,46.53,11656.92
suidefai-by-suiai,suid,SUIDeFAI by SuiAI,ai,1.158e-05,22.25,11575.98
lotion-coin,lotion,Lotion AI,ai,1.182e-05,11.77,11379.04
minji,minji,minji,ai,1.168e-05,18.67,11145.2
saios,sai,SAIOS,ai,1.111e-05,3.75,11104.19
cove-quant,cove,Cove Quant,ai,1.102e-05,234.72,11019.32
taxsolutions-ai,tsai,TaxSolutions AI,ai,1.099e-05,17.14,10987.81
itronixai,itxs,ItronixAI,ai,1.086e-05,128.32,10861.58
yod-agent,yod,Yod Agent,ai,1.207e-05,13.85,10855.02
neuralis-ai,neurai,Neuralis AI,ai,0.01073434,44.94,10734.34
julia-swarm-syndicate,jss,Julia Swarm Syndicate,ai,1.084e-05,110.8,10465.83
a-i-agent-kaia,kaia,A.I Agent kAia,ai,1.082e-05,32.61,10421.97
