cmc_id,id,market_cap,name,narrative,price,symbol,volume
74.0,DOGE,25322836016.176678,Dogecoin,meme,0.1688091649284806,DOGE,1008729842.9722244
5994.0,SHIB,6940216265.753898,Shiba Inu,meme,1.1778109460820372e-05,SHIB,116055420.3934188
24478.0,PEPE,4176889186.408197,Pepe,meme,9.928665246890991e-06,PEPE,620230475.0696031
3773.0,FET,1598453720.6174378,Artificial Superintelligence Alliance,ai,0.6680748037279274,FET,90235210.28423911
10804.0,FLOKI,800864311.7112283,FLOKI,meme,8.321481942742147e-05,FLOKI,123680809.119515
28782.0,POPCAT,277802720.26840127,Popcat (SOL),meme,0.283479920301894,POPCAT,44146182.79562938
30126.0,MEW,239985596.04441923,cat in a dogs world,meme,0.0026998379555267,MEW,26852921.4298545
10407.0,BABYDOGE,208444102.4132284,Baby Doge Coin,meme,1.247331965101862e-09,BabyDoge,27915912.5096991
29256.0,USDY,637766933.469257,Ondo US Dollar Yield,rwa,1.0970107228513262,USDY,1413083.52979739
35491.0,M,304001581.43106866,MemeCore,meme,0.1924907715883604,M,67555214.2454186
36671.0,SAHARA,158176463.58550188,Sahara AI,ai,0.0775374821497558,SAHARA,126890739.896017
35347.0,MELANIA,145983625.40974763,Official Melania Meme,meme,0.1780292527714475,MELANIA,11865739.20779174
34880.0,ALCH,112560062.53844552,Alchemist AI,ai,0.1324236029864065,ALCH,15171066.71482964
29870.0,BOME,105996632.99943374,BOOK OF MEME,meme,0.0015377483370709,BOME,33465388.55871243
32968.0,AIC,99687351.77595748,AI Companions,ai,0.1329165222012188,AIC,6069991.235185
27178.0,PAAL,94209017.15171568,PAAL AI,ai,0.09653883522407,PAAL,4855154.9698887
23355.0,0X0,83858826.82107596,0x0.ai,ai,0.0965488777340694,0x0,312339.67089367
10688.0,YGG,77363319.89308186,Yield Guild Games,gaming,0.146633573605018,YGG,12183682.61355177
28301.0,MEME,75479685.64048906,Memecoin,meme,0.0015018174779322,MEME,18991816.34761813
20605.0,TAI,68647558.75081113,TARS AI,ai,0.0769427786530099,TAI,3966338.47137762
9436.0,ELON,63704906.202391714,Dogelon Mars,meme,1.1590027315589797e-07,ELON,3255486.71428216
19055.0,AITECH,59848457.18339296,Solidus Ai Tech,ai,0.0388237413139859,AITECH,8000078.63621166
25220.0,BITCOIN,56626242.49153409,HarryPotterObamaSonic10Inu (ERC-20),meme,0.0566376745229481,BITCOIN,4618372.50160277
31246.0,GAME,54136443.85193173,GameBuild,gaming,0.0030540734855003,GAME,4370689.02959868
28688.0,AIAT,51898429.36837437,AI Analysis Token,ai,0.3545229865228239,AIAT,445752.29530915
15584.0,HEART,49700860.202973805,Humans.ai,ai,0.0063719051542274,HEART,411079.56188769
32724.0,CAT,49429948.84002145,Simon's Cat,meme,6.775665065646244e-06,CAT,7574249.30399396
29933.0,UDS,48179658.0187487,Undeads Games,gaming,1.0520033998586904,UDS,695247.797407
35943.0,PUNDIAI,44865440.9364705,Pundi AI,ai,6.357028543999089,PUNDIAI,2129004.35467051
11865.0,BONE,44187665.673381954,Bone ShibaSwap,meme,0.1921843325337515,BONE,3219112.70266557
16876.0,ALI,42072404.96131852,Artificial Liquid Intelligence,ai,0.0046141680434228,ALI,1119049.16838113
21706.0,GRND,39758797.07521372,SuperWalk,rwa,0.0586590093360534,GRND,206518.41685853
28846.0,AI,39671210.971037984,Sleepless AI,ai,0.1087254844881385,AI,6694376.93252419
24835.0,PEPECOIN,37416618.33048839,PepeCoin,meme,0.3495011230786661,PEPECOIN,544434.76020816
33566.0,ACT,36161768.02014748,Act I : The AI Prophecy,ai,0.0381354753820803,ACT,16485316.51185464
30637.0,KEYCAT,36013077.942129105,Keyboard Cat,meme,0.0036013077942129,KEYCAT,1962821.06924906
12749.0,NAKA,34921549.863268524,Nakamoto Games,gaming,0.3301847960324919,NAKA,7816967.39834421
28675.0,COQ,32344937.490763705,Coq Inu,meme,4.659311076168785e-07,COQ,2864978.31411913
20964.0,LBT,32079569.722833227,Law Blocks (AI),ai,0.1309380945725694,LBT,329405.78172356
29513.0,GPU,30387999.16478777,Node AI,ai,0.3098623947770494,GPU,5637523.50879836
24502.0,WOJAK,29635623.238282066,Wojak,meme,0.0004269971892632,WOJAK,1164571.26682575
35482.0,AGIALPHA,27962066.21779229,AGI ALPHA AGENT,ai,0.0279621527939301,AGIALPHA,391774.8056305
25023.0,LADYS,26778003.522815105,Milady Meme Coin,meme,3.6464110097251066e-08,LADYS,4449308.98842405
34926.0,ARC,25394300.40952364,AI Rig Complex,ai,0.0253943430974143,ARC,819736.24996158
32966.0,CATI,25380423.640530474,Catizen,meme,0.0779042439624619,CATI,6758142.71673922
32171.0,$PURPE,21444966.911374867,Purple Pepe,meme,5.1400425427263576e-05,$PURPE,843711.36003918
24477.0,AIDOGE,20654467.71605413,ArbDoge AI,meme,1.18393634603496e-10,AIDOGE,4462398.94610555
6069.0,ASM,19852659.03592537,Assemble AI,ai,0.0132351060239502,ASM,202471.39878243
31806.0,PEP,19823710.848929223,Pepecoin,meme,0.0002011477159389,PEP,44919.16171944
34158.0,VERTAI,19658927.77910098,Vertical AI,ai,0.1965892777910098,VERTAI,532610.86475101
28446.0,SPECTRE,18934116.96253252,SPECTRE AI,ai,1.8947055907011416,SPECTRE,614768.05539518
28567.0,PALM,18895983.735901505,PaLM AI,ai,0.2449896381412137,PALM,110359.11787984
29220.0,PORK,18788646.144197814,PepeFork,meme,4.7381974893379386e-08,PORK,491189.87489457
